State (Administrative Location),Population (2008)
AL,"4,718,206"
AK,"687,455"
AZ,"6,280,362"
AR,"2,874,554"
CA,"36,604,337"
CO,"4,890,730"
CT,"3,545,579"
DE,"883,874"
DC,"580,236"
FL,"18,527,305"
GA,"9,504,843"
HI,"1,332,213"
ID,"1,534,320"
IL,"12,747,038"
IN,"6,424,806"
IA,"3,016,734"
KS,"2,808,076"
KY,"4,289,878"
LA,"4,435,586"
ME,"1,330,509"
MD,"5,684,965"
MA,"6,469,967"
MI,"9,947,889"
MN,"5,247,018"
MS,"2,947,806"
MO,"5,923,916"
MT,"976,415"
NE,"1,796,378"
NV,"2,653,630"
NH,"1,315,906"
NJ,"8,711,090"
NM,"2,010,662"
NY,"19,212,436"
NC,"9,309,449"
ND,"657,569"
OH,"11,515,391"
OK,"3,668,976"
OR,"3,768,748"
PA,"12,612,285"
RI,"1,055,003"
SC,"4,528,996"
SD,"799,124"
TN,"6,247,411"
TX,"24,309,039"
UT,"2,663,029"
VT,"624,151"
VA,"7,833,496"
WA,"6,562,231"
WV,"1,840,310"
WI,"5,641,996"
WY,"546,043"